Név	Tárgy	Azonosító	Jelszó	Vkezd?	Ukezd?	Hanyadik	JelszóBet?	Jelszószám	
Blazsetics Viktória	matematika	BVM1	P428	B	V	1	P	1428	Z
Kosztolányi Péter	matematika	KPM2	W310	K	P	2	W	1310	65
Nik Izabella	matematika	NIM3	G076	N	I	3	G	1076	
Török Nóra	fizika	TNF1	J112	T	N	1	J	1112	
Majoros Márton	informatika	MMI1	W223	M	M	1	W	1223	
Senkey Kinga	matematika	SKM4	W359	S	K	4	W	1359	
Reményfi Márton	angol	RMA1	F207	R	M	1	F	1207	
Kispál Béla	informatika	KBI2	Y428	K	B	2	Y	1428	
Ferdinandy Petra	fizika	FPF2	T927	F	P	2	T	1927	
Pánczél Éva	fizika	PÉF3	O347	P	É	3	O	1347	
Kohlmann Bence	informatika	KBI3	L950	K	B	3	L	1950	
Polgár Zoltán	matematika	PZM5	S765	P	Z	5	S	1765	
Tóth Mónika	informatika	TMI4	U867	T	M	4	U	1867	
Túri Péter	matematika	TPM6	J332	T	P	6	J	1332	
Halmosi Csenge	fizika	HCF4	P595	H	C	4	P	1595	
Sándor Orsolya	történelem	SOT1	B352	S	O	1	B	1352	
Józsa Norbert	informatika	JNI5	J672	J	N	5	J	1672	
Béres Fanni	matematika	BFM7	Z848	B	F	7	Z	1848	
Veres Tibor	angol	VTA2	R563	V	T	2	R	1563	
Varga Roland	történelem	VRT2	F170	V	R	2	F	1170	
Leindler Éva	matematika	LÉM8	Z200	L	É	8	Z	1200	
Marsi Vilmos	informatika	MVI6	C557	M	V	6	C	1557	
Miklós Nándor	informatika	MNI7	T210	M	N	7	T	1210	
Korcsok Viktor	angol	KVA3	H348	K	V	3	H	1348	
Füzesy Balázs	történelem	FBT3	P476	F	B	3	P	1476	
Mazzag Tamás	fizika	MTF5	W154	M	T	5	W	1154	
Illés Pál	történelem	IPT4	S136	I	P	4	S	1136	
Cao Ádám	történelem	CÁT5	O636	C	Á	5	O	1636	
Rudinszki Orsolya	matematika	ROM9	K130	R	O	9	K	1130	
Nikk Ferenc	matematika	NFM10	B675	N	F	10	B	1675	
Török Dániel	matematika	TDM11	L145	T	D	11	L	1145	
Forgács Márton	matematika	FMM12	Q130	F	M	12	Q	1130	
Varga Máté	angol	VMA4	Q250	V	M	4	Q	1250	
Szeghalmi Zsolt	matematika	SZM13	C971	S	Z	13	C	1971	
